trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.9588496310845509}",20,0,-191.58726873699018,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
43,False,"{'a': 0.2, 'e': 0.9578907814534663}",20,0,-165.76861734777094,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.2, 'e': 0.9569328906720128}",20,0,-73.93013922532859,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.9559759577813408}",25,0,-155.76085453778103,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
46,False,"{'a': 0.2, 'e': 0.9550199818235595}",30,0,-58.408636565534415,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.954064961841736}",20,0,-116.66928032375442,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.9531108968798943}",20,0,-112.78689615352685,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.9521577859830144}",25,0,-161.5653478726982,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.9512056281970314}",35,0,-189.78115174416686,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.2, 'e': 0.9502544225688343}",20,0,-97.9339436228306,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.9493041681462654}",25,0,-96.51877476323278,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.9483548639781192}",35,0,-122.92293250004309,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.2, 'e': 0.947406509114141}",30,0,-150.82190367610607,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
55,False,"{'a': 0.2, 'e': 0.9464591026050269}",25,1,-62.37736607565309,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.9455126435024219}",20,0,-87.24357749606986,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.9445671308589194}",25,0,-133.9736513304836,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.2, 'e': 0.9436225637280605}",20,0,-109.02605754940029,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.9426789411643325}",30,0,-90.46579945763584,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.9417362622231682}",25,11,-33.616799984976204,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.2, 'e': 0.9407945259609449}",25,0,-102.4978838896111,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.9398537314349841}",30,0,-176.58990807863316,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
63,False,"{'a': 0.2, 'e': 0.9389138777035491}",25,5,-132.40806718403533,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
64,False,"{'a': 0.2, 'e': 0.9379749638258456}",20,0,-83.4334805775408,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.9370369888620197}",20,0,-145.67629613812886,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.9360999518731576}",25,0,-187.4761990866644,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
67,False,"{'a': 0.2, 'e': 0.9351638519212845}",20,0,-73.12813617652311,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.9342286880693632}",30,17,-58.94392288129064,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.2, 'e': 0.9332944593812939}",20,0,-111.1676779771738,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.2, 'e': 0.9323611649219126}",20,0,-205.09835045439266,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
71,False,"{'a': 0.2, 'e': 0.9314288037569907}",20,0,-107.4164784038723,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.2, 'e': 0.9304973749532336}",35,0,-170.68704822901665,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
73,False,"{'a': 0.2, 'e': 0.9295668775782804}",25,10,-72.68528386426492,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
74,False,"{'a': 0.2, 'e': 0.9286373107007021}",20,0,-54.312016307426035,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.9277086733900014}",25,0,-59.15199294501782,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.9267809647166114}",25,0,-97.91896333617746,"{0: 13, 1: 8, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.9258541837518948}",20,14,12.12525416442515,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.9249283295681429}",30,0,-113.20283437611958,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
79,False,"{'a': 0.2, 'e': 0.9240034012385747}",20,0,4.452902918121191,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.9230793978373362}",25,19,11.039440790626553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.9221563184394989}",30,0,-223.1003351761895,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
82,False,"{'a': 0.2, 'e': 0.9212341621210594}",25,0,-103.04509705123823,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.9203129279589383}",25,0,-192.70660554141517,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.2, 'e': 0.9193926150309794}",20,12,-21.57694645794131,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.9184732224159483}",20,0,-200.01439671735017,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
86,False,"{'a': 0.2, 'e': 0.9175547491935324}",20,0,-106.05845709100176,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.9166371944443389}",20,0,-28.022772752350594,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.9157205572498945}",20,0,-67.71975282265471,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.2, 'e': 0.9148048366926447}",30,0,-169.21578047854175,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
90,False,"{'a': 0.2, 'e': 0.913890031855952}",20,0,-56.096844811602686,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.912976141824096}",30,0,-189.07029849795944,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
92,False,"{'a': 0.2, 'e': 0.912063165682272}",20,15,-13.781925826200824,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.9111511025165897}",20,0,-10.125915436375523,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.9102399514140731}",25,0,-134.59527909658993,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.9093297114626591}",25,6,-60.42010034453463,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.9084203817511963}",20,5,-137.20966830552607,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 2}",1
97,False,"{'a': 0.2, 'e': 0.9075119613694451}",25,8,-44.93013254487343,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.9066044494080757}",20,0,-36.610393727220355,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.2, 'e': 0.9056978449586677}",20,0,-63.51073118367313,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.9047921471137089}",30,0,-226.7986994680152,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
101,False,"{'a': 0.2, 'e': 0.9038873549665952}",25,18,-12.206841463862304,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.9029834676116286}",20,0,-14.665382398179181,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.902080484144017}",25,0,-116.70810889471684,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
104,False,"{'a': 0.2, 'e': 0.901178403659873}",25,1,-113.62790675930238,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.9002772252562131}",35,0,-179.06048843932305,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
106,False,"{'a': 0.2, 'e': 0.8993769480309569}",20,0,-236.0839937508212,"{0: 10, 1: 1, 2: 2, 3: 3, 4: 4}",0
