trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.05, 'e': 0.6556592205741436}",25,0,-95.45364546793448,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.05, 'e': 0.6491026283684022}",25,0,-64.55231499950847,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.05, 'e': 0.6426116020847181}",30,0,-75.85070981617064,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.6361854860638709}",30,0,-106.26169919749582,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.05, 'e': 0.6298236312032323}",20,0,-77.58337786358955,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.05, 'e': 0.6235253948912}",30,4,-118.26858439174929,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 3}",1
48,False,"{'a': 0.05, 'e': 0.617290140942288}",25,13,-44.39095446343836,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.05, 'e': 0.611117239532865}",20,0,-97.79614610022192,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
50,False,"{'a': 0.05, 'e': 0.6050060671375364}",25,0,-35.5727084996236,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.05, 'e': 0.598956006466161}",25,0,-24.96000259233958,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.05, 'e': 0.5929664464014994}",20,0,-58.88477293978433,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.05, 'e': 0.5870367819374844}",30,8,-19.989919419644124,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.5811664141181095}",25,11,-28.50241995452152,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.05, 'e': 0.5753547499769285}",20,0,-21.032593550885483,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.05, 'e': 0.5696012024771592}",30,12,-69.38179698374078,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.05, 'e': 0.5639051904523875}",20,8,-30.586952037956117,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.5582661385478637}",25,16,18.360608164102448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.05, 'e': 0.5526834771623851}",30,0,26.24246319774047,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.5471566423907612}",30,0,-24.097684087292972,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.05, 'e': 0.5416850759668536}",25,15,-16.96473582500598,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.05, 'e': 0.536268225207185}",20,14,8.101882011483104,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.05, 'e': 0.5309055429551132}",30,0,-22.74049320660264,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.525596487525562}",20,0,18.286342153257277,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.5203405226503064}",30,0,-61.15112513552464,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.05, 'e': 0.5151371174238033}",25,8,-33.90343658759344,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
67,False,"{'a': 0.05, 'e': 0.5099857462495653}",25,18,-42.39468933381142,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.5048858887870696}",20,13,-42.55667821549324,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.05, 'e': 0.4998370298991989}",20,0,-83.12658632316074,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.05, 'e': 0.49483865960020695}",20,0,-83.94986847393514,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.05, 'e': 0.4898902730042049}",20,3,-20.368170832745456,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
72,False,"{'a': 0.05, 'e': 0.48499137027416284}",25,11,-52.118160011529085,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.05, 'e': 0.4801414565714212}",20,0,-73.05451867750703,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.05, 'e': 0.47534004200570695}",20,0,-47.12878820269637,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.05, 'e': 0.4705866415856499}",25,0,-39.54532865090613,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.05, 'e': 0.46588077516979337}",20,0,-43.814981774277484,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.46122196741809546}",20,0,-15.695004008325467,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.4566097477439145}",20,0,-35.40096326207876,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
79,False,"{'a': 0.05, 'e': 0.45204365026647536}",20,0,-15.596482288496857,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
80,False,"{'a': 0.05, 'e': 0.4475232137638106}",35,20,-39.195845278675364,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
81,False,"{'a': 0.05, 'e': 0.4430479816261725}",20,0,-33.32639882274809,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.43861750180991077}",20,0,-28.90322520101203,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.05, 'e': 0.43423132679181164}",25,2,-26.707053280983075,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.05, 'e': 0.4298890135238935}",25,0,-116.24382523683096,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.05, 'e': 0.4255901233886546}",20,0,1.6846774485285352,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.421334222154768}",20,0,-54.98015240142972,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.05, 'e': 0.41712087993322033}",25,0,-37.87825033235353,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.05, 'e': 0.41294967113388814}",35,22,3.3678787463236164,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.40882017442254925}",25,2,-73.77429797012576,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
90,False,"{'a': 0.05, 'e': 0.4047319726783238}",20,10,-7.1761348378061625,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.40068465295154054}",30,0,-131.07292140010696,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
92,False,"{'a': 0.05, 'e': 0.3966778064220251}",20,0,-38.24002825754769,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.05, 'e': 0.39271102835780486}",20,11,4.807119265891005,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.3887839180742268}",25,11,-1.5218076807559138,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.38489607889348454}",20,0,-30.423023507808814,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.05, 'e': 0.38104711810454966}",20,0,-67.43543989913982,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.05, 'e': 0.37723664692350417}",25,2,-8.095608149520693,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.37346428045426916}",20,0,-56.16014016728441,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
99,False,"{'a': 0.05, 'e': 0.36972963764972644}",30,0,-38.371833587268355,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.05, 'e': 0.3660323412732292}",25,0,-32.8936013164017,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
101,False,"{'a': 0.05, 'e': 0.3623720178604969}",20,10,8.757338163632646,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.3587482976818919}",25,0,-56.400613097478775,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.05, 'e': 0.355160814705073}",30,3,-31.883136019476847,"{0: 23, 1: 0, 2: 1, 3: 3, 4: 0}",1
104,False,"{'a': 0.05, 'e': 0.35160920655802225}",25,0,-103.70404450621693,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
105,False,"{'a': 0.05, 'e': 0.348093114492442}",20,0,-40.654546361512985,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.05, 'e': 0.3446121833475176}",25,0,3.3114638881256244,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.05, 'e': 0.34116606151404244}",25,0,-31.50301054469255,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.05, 'e': 0.337754400898902}",30,0,19.23881865393877,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.05, 'e': 0.334376856889913}",25,0,6.503404318968539,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.05, 'e': 0.33103308832101386}",30,14,-1.961411730330957,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.3277227574378037}",20,0,-88.88675755971856,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.05, 'e': 0.3244455298634257}",30,0,-11.190540917323776,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.05, 'e': 0.3212010745647914}",30,0,-14.872457921072927,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.05, 'e': 0.3179890638191435}",25,7,-4.628412726790104,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.05, 'e': 0.31480917318095203}",20,9,8.0123066425288,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.05, 'e': 0.3116610814491425}",25,0,-54.22580125211295,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.05, 'e': 0.30854447063465107}",20,0,-34.96198235778411,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.05, 'e': 0.3054590259283046}",30,0,-52.13800034474506,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.05, 'e': 0.30240443566902153}",25,0,-21.034058276745583,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.05, 'e': 0.2993803913123313}",30,0,29.99938367637503,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.05, 'e': 0.296386587399208}",30,0,-45.3648670987648,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.05, 'e': 0.2934227215252159}",20,0,-14.11128830702921,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.05, 'e': 0.29048849430996376}",20,3,-69.65038632024535,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
124,False,"{'a': 0.05, 'e': 0.2875836093668641}",25,0,-77.12511024186043,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.05, 'e': 0.28470777327319546}",25,0,-15.065602252827176,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.05, 'e': 0.2818606955404635}",30,5,20.15117155517402,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.05, 'e': 0.27904208858505886}",20,14,1.1998000601095815,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.05, 'e': 0.2762516676992083}",20,0,-36.75909168476102,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.05, 'e': 0.2734891510222162}",20,0,-0.3550126633718875,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.05, 'e': 0.27075425951199406}",25,17,14.803231248075011,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.05, 'e': 0.2680467169168741}",20,9,9.76731055305097,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.05, 'e': 0.26536624974770534}",20,2,27.50276750153539,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.05, 'e': 0.2627125872502283}",30,0,20.462940548448252,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.05, 'e': 0.26008546137772603}",25,15,-4.023508483119128,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.05, 'e': 0.25748460676394874}",20,0,-35.6748204823183,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.05, 'e': 0.2549097606963093}",20,0,-30.306269441333576,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
