trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.05, 'e': 0.47236655274101474}",20,0,-112.25719802924029,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.05, 'e': 0.46766642700990924}",20,0,-14.1925969470046,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.46301306831122807}",25,19,-2.103477487647815,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.45840601130522357}",20,4,-11.417832668411485,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.05, 'e': 0.45384479528235583}",20,4,-12.824720882368869,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,0,0.9732040738228152,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.05, 'e': 0.4448580662229411}",30,0,-43.059659576884094,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.05, 'e': 0.44043165450599925}",20,9,-1.7965952668699303,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.43604928632153556}",20,12,-19.474569447997485,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.43171052342907973}",20,0,-19.398426880557103,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.4274149319487267}",25,0,-73.36838862505428,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.05, 'e': 0.4231620823177488}",20,0,-6.912827500000868,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.05, 'e': 0.418951549247639}",30,10,-10.552168042210688,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.4147829116815814}",20,5,-38.13457618715432,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.05, 'e': 0.4106557527523455}",25,0,-98.47286734408543,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 0.05, 'e': 0.4065696597405991}",20,8,-24.069954087142314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.05, 'e': 0.40252422403363597}",20,11,-20.786018153857658,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.3985190410845142}",25,0,-35.23081473697772,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.39455371037160114}",30,20,19.289822867678247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.3906278353585211}",20,14,13.347714840183622,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.3867410234545012}",20,0,-66.96367870259988,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.05, 'e': 0.38289288597511206}",20,8,-21.835215138569968,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.37908303810339883}",25,3,-4.624470172474889,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.37531109885139957}",30,4,-43.19515576500143,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.3715766910220457}",20,0,-67.24136139270941,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.05, 'e': 0.36787944117144233}",20,12,19.55042446303894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.05, 'e': 0.3642189795715233}",20,11,12.850729711330606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.3605949401730783}",20,0,-36.691458662779674,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.05, 'e': 0.3570069605691474}",30,0,-20.62655137308156,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.05, 'e': 0.35345468195878016}",20,0,7.6418633074263305,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.05, 'e': 0.3499377491111553}",25,0,-51.04548637980598,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.05, 'e': 0.34645581033005746}",25,0,-32.10353723566519,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.05, 'e': 0.3430085174187067}",30,12,0.3906474551702712,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.05, 'e': 0.33959552564493917}",25,6,15.532649568230914,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.05, 'e': 0.33621649370673334}",25,0,-27.065472881059705,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.05, 'e': 0.33287108369807955}",20,0,-14.039633216618695,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.05, 'e': 0.32955896107518906}",20,0,21.99485043539468,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.05, 'e': 0.32627979462303947}",25,17,-8.244633767105583,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.05, 'e': 0.3230332564222529}",20,0,-106.1403716256553,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
114,False,"{'a': 0.05, 'e': 0.3198190218163039}",20,0,-25.926185616921003,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
