trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6556592205741436}",25,0,-219.92386865791997,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
43,False,"{'a': 0.2, 'e': 0.6491026283684022}",30,0,-57.74404528317678,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.2, 'e': 0.6426116020847181}",20,8,-76.01057631252415,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.2, 'e': 0.6361854860638709}",20,0,-12.948442482996974,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.6298236312032323}",20,0,-73.50929386352502,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.6235253948912}",20,13,-12.746176806760353,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.617290140942288}",25,0,-98.3433223418165,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.2, 'e': 0.611117239532865}",25,0,-81.97655367504673,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.6050060671375364}",20,7,-0.5114668594607661,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.598956006466161}",35,0,-1.8412524268837933,"{0: 30, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.5929664464014994}",20,0,-75.5360166379254,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.5870367819374844}",20,0,-96.78806492466427,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5811664141181095}",35,0,-88.13933136712852,"{0: 23, 1: 2, 2: 9, 3: 1, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.5753547499769285}",20,6,-33.79552920983899,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.5696012024771592}",20,0,-53.7444701945752,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.5639051904523875}",20,0,-80.06342349089512,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.5582661385478637}",25,15,19.144883461343817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.5526834771623851}",20,0,-167.9283773596481,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
60,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,0,-95.04200369142532,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.2, 'e': 0.5416850759668536}",25,0,-26.454102851009573,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.536268225207185}",20,0,-37.13832175755173,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,16,8.614606651357992,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.525596487525562}",25,0,-20.232601021174727,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.5203405226503064}",35,0,-101.67561442352226,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.5151371174238033}",20,13,-0.18660929672564075,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.5099857462495653}",20,6,2.362061490234127,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.5048858887870696}",25,0,-31.080042681276545,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,1,-19.602708635624175,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.49483865960020695}",30,0,-128.12930898419202,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
71,False,"{'a': 0.2, 'e': 0.4898902730042049}",30,24,10.409675178470662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.48499137027416284}",20,3,-47.073369821329486,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.4801414565714212}",25,0,-13.61194689709114,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.47534004200570695}",20,0,-99.55802495280125,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.2, 'e': 0.4705866415856499}",25,13,-24.907668786513483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.46588077516979337}",25,15,-15.815515464220288,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.46122196741809546}",30,19,8.586081815628873,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.4566097477439145}",25,17,-47.21519445901691,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.2, 'e': 0.45204365026647536}",30,8,-48.02347403178383,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.4475232137638106}",20,0,-58.3435788098416,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.4430479816261725}",20,0,0.5522447984981451,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.43861750180991077}",25,4,-78.21729706506137,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
